,p_val,avg_diff,pct.1,pct.2,p_val_adj,p_val_adj_BH
MAFK,1.12984588388231e-05,0.589407635924443,0.556,0.293,0.00715192444497504,0.00357031299306811
JDP2,0.00012443995468425,0.746573079334438,0.466,0.301,0.07877049131513,0.0196615128401114
FOSL1,0.000209311038904982,0.858226562066874,0.513,0.325,0.132493887626854,0.0197876309188505
JUND,0.000256044530103092,0.810777470948612,0.492,0.293,0.162076187555257,0.0197876309188505
JUN::JUNB,0.000505863407081841,0.719293103073183,0.503,0.317,0.320211536682806,0.0197876309188505
NFE2,0.00053573549019331,0.745131821082304,0.471,0.309,0.339120565292365,0.0197876309188505
JUNB,0.00053829762051622,0.785489063210466,0.455,0.309,0.340742393786767,0.0197876309188505
FOSB::JUNB,0.000597635950235622,0.806350404703601,0.471,0.309,0.378303556499149,0.0197876309188505
CTCFL,0.000666141217078649,-0.366306035607802,0.407,0.561,0.421667390410785,0.0197876309188505
BACH2,0.000777256789157064,0.726849338875597,0.46,0.309,0.492003547536422,0.0197876309188505
TP63,0.000848802660521665,-0.388650398474212,0.503,0.642,0.537292084110214,0.0197876309188505
FOSL1::JUND,0.00085273237704804,0.749398492690382,0.481,0.35,0.539779594671409,0.0197876309188505
JUN(var.2),0.000856678960404366,0.821099315741406,0.455,0.309,0.542277781935964,0.0197876309188505
FOSL2::JUNB,0.000876667192607298,0.764938424722689,0.455,0.317,0.55493033292042,0.0197876309188505
FOS::JUNB,0.00100138237673889,0.780164180285122,0.466,0.317,0.63387504447572,0.0204185881185029
FOS,0.00103385256296217,0.836172487085102,0.466,0.333,0.654428672355054,0.0204185881185029
BATF::JUN,0.00136700891995529,0.729177704880251,0.466,0.333,0.865316646331696,0.0254102834532865
FOS::JUN,0.00146777522967061,0.7520151461774,0.46,0.293,0.929101720381497,0.0254734031236789
FOSL1::JUNB,0.00158929276013442,0.76256430017526,0.46,0.293,1,0.0254734031236789
FOSL2,0.00168274292032876,0.789116796559014,0.45,0.341,1,0.0254734031236789
BATF,0.00170501418703097,0.715698603162507,0.471,0.341,1,0.0254734031236789
BATF3,0.00177346477443334,0.690251413389319,0.466,0.325,1,0.0254734031236789
FOSL2::JUN,0.00188497897330037,0.78109535898077,0.45,0.293,1,0.0258979719809965
FOSL2::JUND,0.00214593716568522,0.730439932338339,0.45,0.317,1,0.0282548393481887
SPIB,0.00230812686435251,0.524353628832515,0.317,0.244,1,0.0291747235654157
NR2F1,0.00272347774043309,0.360290855184021,0.571,0.496,1,0.0315223800965631
FOSL1::JUN,0.00278140305485534,0.736667797230291,0.492,0.301,1,0.0315223800965631
FOS::JUND,0.00279312228703723,0.744548106377866,0.476,0.317,1,0.0315223800965631
BACH1,0.00420317023387978,0.532547551967866,0.492,0.341,1,0.0458000618588279
MEF2B,0.0064034932654084,0.330528160615665,0.481,0.366,1,0.0660403140681993
RARB(var.3),0.00647863840542462,0.334840511975023,0.561,0.447,1,0.0660403140681993
MEF2D,0.00733095663250208,0.322710428631663,0.503,0.382,1,0.0723931967459581
RARA::RXRG,0.010838394666132,0.297652305605874,0.55,0.415,1,0.103785839833264
SPI1,0.0118775594928949,0.346662993120685,0.381,0.268,1,0.110391435286906
ZBTB7C,0.0137738104593991,-0.235772455176963,0.439,0.61,1,0.122646684174246
ATF3,0.0139724070578255,0.264001115807133,0.529,0.407,1,0.122646684174246
CTCF,0.0172694816952724,-0.384839738823834,0.54,0.667,1,0.147490708532596
JDP2(var.2),0.0198298785039973,0.270140488295983,0.503,0.423,1,0.161552452610197
MAF::NFE2,0.0203105029496703,0.271207370640365,0.492,0.374,1,0.161552452610197
NR2F1(var.2),0.0204496775455946,0.233452044778539,0.566,0.407,1,0.161552452610197
THAP11,0.0244533590302735,0.232632117409767,0.519,0.398,1,0.180242455557563
ATF2,0.0245350102239407,0.248350123145691,0.545,0.415,1,0.180242455557563
BARX1,0.0251967664327313,-0.26645831695745,0.471,0.561,1,0.180242455557563
MEF2A,0.0268306581837747,0.234925719184674,0.519,0.35,1,0.180242455557563
EVX1,0.0274552710507692,-0.20607003232824,0.434,0.585,1,0.180242455557563
ZBTB7B,0.0276360199532329,-0.239218034761586,0.413,0.504,1,0.180242455557563
DBP,0.0282767459624415,-0.321069107351298,0.545,0.626,1,0.180242455557563
GFI1,0.0287422073429544,0.277521786638839,0.497,0.382,1,0.180242455557563
EHF,0.0287422073429544,0.346262136623231,0.471,0.39,1,0.180242455557563
BARHL2,0.0288360871766868,-0.279312136146875,0.46,0.52,1,0.180242455557563
NFE2L1,0.0303744529506722,0.282905124548627,0.444,0.341,1,0.180242455557563
PRRX1,0.0308694288006847,-0.257493257844449,0.413,0.504,1,0.180242455557563
UNCX,0.0308694288006847,-0.257493257844449,0.413,0.504,1,0.180242455557563
ZBTB32,0.0308694288006847,-0.284799475926495,0.429,0.561,1,0.180242455557563
ZKSCAN1,0.0313713134672973,-0.219017056278544,0.481,0.61,1,0.180242455557563
ZBTB12,0.0321888877757103,-0.241981698831566,0.497,0.61,1,0.181637295305794
MAFA,0.0331304189532901,0.25646226357478,0.513,0.415,1,0.183670392793679
