,p_val,avg_diff,pct.1,pct.2,p_val_adj,p_val_adj_BH
ZNF135,1.95448945370841e-05,0.571716943341418,0.397,0.169,0.0123719182419742,0.0123719182419742
DUX4,0.000171090035628603,-0.561087026471159,0.466,0.687,0.108299992552906,0.0541499962764528
POU3F3,0.000727960312369565,-0.477700855325414,0.457,0.639,0.460798877729935,0.153599625909978
DUXA,0.00212791058727089,-0.426017108506702,0.466,0.651,1,0.250718768192241
RXRG(var.2),0.00225587081303073,0.458354912746896,0.5,0.325,1,0.250718768192241
NFKB1,0.00241072047225234,0.475038733782116,0.448,0.277,1,0.250718768192241
FOXK2,0.00277256141760772,-0.453629980231193,0.509,0.699,1,0.250718768192241
ETV4,0.00448162679846551,0.412477531151851,0.422,0.241,1,0.265015155967688
ZNF460,0.00480774010957954,0.249647974691659,0.466,0.253,1,0.265015155967688
FOXK1,0.00492112526207721,-0.410387078970052,0.569,0.723,1,0.265015155967688
FOXO3,0.00523540559139955,-0.420930540500788,0.509,0.735,1,0.265015155967688
POU1F1,0.00527593983408371,-0.420152176460624,0.422,0.59,1,0.265015155967688
ZNF682,0.00587395818355609,0.359403225577835,0.466,0.349,1,0.265015155967688
SREBF2,0.00653240719525629,0.413891365085765,0.44,0.301,1,0.265015155967688
POU6F1,0.00693779106172106,-0.483753130363597,0.552,0.711,1,0.265015155967688
FOXI1,0.00841595401713742,-0.406980243689612,0.534,0.675,1,0.265015155967688
FOXL1,0.00841595401713742,-0.406980243689612,0.534,0.675,1,0.265015155967688
FOXO4,0.00841595401713742,-0.406980243689612,0.534,0.675,1,0.265015155967688
FOXO6,0.00841595401713742,-0.406980243689612,0.534,0.675,1,0.265015155967688
FOXP3,0.00841595401713742,-0.406980243689612,0.534,0.675,1,0.265015155967688
NRF1,0.00898976918635674,-0.470409000792461,0.543,0.663,1,0.265015155967688
FOXD1,0.00925582830387782,-0.414371672989203,0.543,0.699,1,0.265015155967688
NR2F1,0.010169710434756,0.399768683093846,0.379,0.229,1,0.265015155967688
POU3F1,0.0103916883560401,-0.287526952404743,0.414,0.627,1,0.265015155967688
LMX1A,0.0104666333320572,-0.367955745311404,0.474,0.639,1,0.265015155967688
SREBF1,0.0112429436300254,0.374921550155826,0.422,0.265,1,0.273722435300235
MEF2C,0.0124155918105413,0.296041156657894,0.466,0.289,1,0.291076652447135
VAX1,0.0149865099300963,-0.330059191861389,0.431,0.627,1,0.306014864056482
VAX2,0.0149865099300963,-0.330059191861389,0.431,0.627,1,0.306014864056482
DRGX,0.0149865099300963,-0.330059191861389,0.431,0.627,1,0.306014864056482
GSX2,0.0149865099300963,-0.330059191861389,0.431,0.627,1,0.306014864056482
PRDM1,0.0159421332156266,-0.330191052372554,0.328,0.518,1,0.310009465120045
INSM1,0.0161616308830355,0.263861230537295,0.56,0.361,1,0.310009465120045
LMX1B,0.0169509293353335,-0.371517440477146,0.543,0.675,1,0.311267463309808
PKNOX2,0.017894231591986,0.29311291201433,0.543,0.373,1,0.311267463309808
FOXP1,0.0182596502130699,-0.344545928675627,0.569,0.723,1,0.311267463309808
ETS2,0.0188832097690568,0.332571337696965,0.491,0.398,1,0.311267463309808
ERF,0.0207292648587883,0.318874014777005,0.474,0.325,1,0.311267463309808
POU3F2,0.0207292648587883,-0.295583974874848,0.448,0.53,1,0.311267463309808
ETV2,0.0208669514305337,0.373549839883319,0.517,0.41,1,0.311267463309808
HES7,0.0222882403197743,0.361898311504089,0.414,0.301,1,0.311267463309808
TFDP1,0.0224348949227445,-0.407551052643936,0.526,0.614,1,0.311267463309808
ZNF384,0.023180817990309,0.252756213749353,0.448,0.349,1,0.311267463309808
ZBTB26,0.023638632086407,0.268280216637519,0.517,0.337,1,0.311267463309808
RXRA::VDR,0.0242612413853163,0.2677859306614,0.526,0.349,1,0.311267463309808
ZNF354C,0.0244190970498187,0.244945272368743,0.552,0.398,1,0.311267463309808
BHLHE23,0.0244190970498187,-0.387454112061212,0.491,0.627,1,0.311267463309808
